id,sleepday,totalsleeprecords,totalminutesasleep,totaltimeinbed,weekday,total_minutes_asleep_hours,total_time_in_bed_hours
1503960366,2016-04-12,1,327,346,Tuesday,5.45,5.766666666666667
1503960366,2016-04-13,2,384,407,Wednesday,6.4,6.783333333333333
1503960366,2016-04-15,1,412,442,Friday,6.866666666666666,7.366666666666666
1503960366,2016-04-16,2,340,367,Saturday,5.666666666666667,6.116666666666666
1503960366,2016-04-17,1,700,712,Sunday,11.666666666666666,11.866666666666667
1503960366,2016-04-19,1,304,320,Tuesday,5.066666666666666,5.333333333333333
1503960366,2016-04-20,1,360,377,Wednesday,6.0,6.283333333333333
1503960366,2016-04-21,1,325,364,Thursday,5.416666666666667,6.066666666666666
1503960366,2016-04-23,1,361,384,Saturday,6.016666666666667,6.4
1503960366,2016-04-24,1,430,449,Sunday,7.166666666666667,7.483333333333333
1503960366,2016-04-25,1,277,323,Monday,4.616666666666666,5.383333333333334
1503960366,2016-04-26,1,245,274,Tuesday,4.083333333333333,4.566666666666666
1503960366,2016-04-28,1,366,393,Thursday,6.1,6.55
1503960366,2016-04-29,1,341,354,Friday,5.683333333333334,5.9
1503960366,2016-04-30,1,404,425,Saturday,6.733333333333333,7.083333333333333
1503960366,2016-05-01,1,369,396,Sunday,6.15,6.6
1503960366,2016-05-02,1,277,309,Monday,4.616666666666666,5.15
1503960366,2016-05-03,1,273,296,Tuesday,4.55,4.933333333333334
1503960366,2016-05-05,1,247,264,Thursday,4.116666666666666,4.4
1503960366,2016-05-06,1,334,367,Friday,5.566666666666666,6.116666666666666
1503960366,2016-05-07,1,331,349,Saturday,5.516666666666667,5.816666666666666
1503960366,2016-05-08,1,594,611,Sunday,9.9,10.183333333333334
1503960366,2016-05-09,1,338,342,Monday,5.633333333333334,5.7
1503960366,2016-05-10,1,383,403,Tuesday,6.383333333333334,6.716666666666667
1503960366,2016-05-11,1,285,306,Wednesday,4.75,5.1
1644430081,2016-04-29,1,119,127,Friday,1.9833333333333334,2.1166666666666667
1644430081,2016-04-30,1,124,142,Saturday,2.066666666666667,2.3666666666666667
1644430081,2016-05-02,1,796,961,Monday,13.266666666666667,16.016666666666666
1644430081,2016-05-08,1,137,154,Sunday,2.283333333333333,2.566666666666667
1844505072,2016-04-15,1,644,961,Friday,10.733333333333333,16.016666666666666
1844505072,2016-04-30,1,722,961,Saturday,12.033333333333333,16.016666666666666
1844505072,2016-05-01,1,590,961,Sunday,9.833333333333334,16.016666666666666
1927972279,2016-04-12,3,750,775,Tuesday,12.5,12.916666666666666
1927972279,2016-04-13,1,398,422,Wednesday,6.633333333333334,7.033333333333333
1927972279,2016-04-15,2,475,499,Friday,7.916666666666667,8.316666666666666
1927972279,2016-04-26,1,296,315,Tuesday,4.933333333333334,5.25
1927972279,2016-04-28,1,166,178,Thursday,2.7666666666666666,2.966666666666667
2026352035,2016-04-12,1,503,546,Tuesday,8.383333333333333,9.1
2026352035,2016-04-13,1,531,565,Wednesday,8.85,9.416666666666666
2026352035,2016-04-14,1,545,568,Thursday,9.083333333333334,9.466666666666667
2026352035,2016-04-15,1,523,573,Friday,8.716666666666667,9.55
2026352035,2016-04-16,1,524,567,Saturday,8.733333333333333,9.45
2026352035,2016-04-17,1,437,498,Sunday,7.283333333333333,8.3
2026352035,2016-04-19,1,498,540,Tuesday,8.3,9.0
2026352035,2016-04-20,1,461,510,Wednesday,7.683333333333334,8.5
2026352035,2016-04-21,1,477,514,Thursday,7.95,8.566666666666666
2026352035,2016-04-22,1,520,545,Friday,8.666666666666666,9.083333333333334
2026352035,2016-04-23,1,522,554,Saturday,8.7,9.233333333333333
2026352035,2016-04-24,1,555,591,Sunday,9.25,9.85
2026352035,2016-04-25,1,506,531,Monday,8.433333333333334,8.85
2026352035,2016-04-27,1,508,545,Wednesday,8.466666666666667,9.083333333333334
2026352035,2016-04-28,1,513,545,Thursday,8.55,9.083333333333334
2026352035,2016-04-29,1,490,510,Friday,8.166666666666666,8.5
2026352035,2016-04-30,1,573,607,Saturday,9.55,10.116666666666667
2026352035,2016-05-01,1,527,546,Sunday,8.783333333333333,9.1
2026352035,2016-05-02,1,511,543,Monday,8.516666666666667,9.05
2026352035,2016-05-04,1,538,560,Wednesday,8.966666666666667,9.333333333333334
2026352035,2016-05-05,1,468,485,Thursday,7.8,8.083333333333334
2026352035,2016-05-06,1,524,548,Friday,8.733333333333333,9.133333333333333
2026352035,2016-05-07,1,511,521,Saturday,8.516666666666667,8.683333333333334
2026352035,2016-05-08,1,541,568,Sunday,9.016666666666667,9.466666666666667
2026352035,2016-05-09,1,531,556,Monday,8.85,9.266666666666667
2026352035,2016-05-10,1,357,380,Tuesday,5.95,6.333333333333333
2026352035,2016-05-11,1,523,553,Wednesday,8.716666666666667,9.216666666666667
2026352035,2016-05-12,1,456,485,Thursday,7.6,8.083333333333334
2320127002,2016-04-23,1,61,69,Saturday,1.0166666666666666,1.15
2347167796,2016-04-13,1,467,531,Wednesday,7.783333333333333,8.85
2347167796,2016-04-14,1,445,489,Thursday,7.416666666666667,8.15
2347167796,2016-04-15,1,452,504,Friday,7.533333333333333,8.4
2347167796,2016-04-17,1,556,602,Sunday,9.266666666666667,10.033333333333333
2347167796,2016-04-18,1,500,557,Monday,8.333333333333334,9.283333333333333
2347167796,2016-04-19,1,465,514,Tuesday,7.75,8.566666666666666
2347167796,2016-04-21,1,460,484,Thursday,7.666666666666667,8.066666666666666
2347167796,2016-04-22,1,405,461,Friday,6.75,7.683333333333334
2347167796,2016-04-23,1,374,386,Saturday,6.233333333333333,6.433333333333334
2347167796,2016-04-24,1,442,459,Sunday,7.366666666666666,7.65
2347167796,2016-04-25,1,433,471,Monday,7.216666666666667,7.85
2347167796,2016-04-26,1,436,490,Tuesday,7.266666666666667,8.166666666666666
2347167796,2016-04-27,1,448,499,Wednesday,7.466666666666667,8.316666666666666
2347167796,2016-04-28,1,408,450,Thursday,6.8,7.5
2347167796,2016-04-29,1,411,473,Friday,6.85,7.883333333333334
3977333714,2016-04-12,1,274,469,Tuesday,4.566666666666666,7.816666666666666
3977333714,2016-04-13,2,295,456,Wednesday,4.916666666666667,7.6
3977333714,2016-04-14,1,291,397,Thursday,4.85,6.616666666666666
3977333714,2016-04-15,1,424,556,Friday,7.066666666666666,9.266666666666667
3977333714,2016-04-16,1,283,510,Saturday,4.716666666666667,8.5
3977333714,2016-04-17,1,381,566,Sunday,6.35,9.433333333333334
3977333714,2016-04-18,2,412,522,Monday,6.866666666666666,8.7
3977333714,2016-04-19,1,219,395,Tuesday,3.65,6.583333333333333
3977333714,2016-04-20,2,152,305,Wednesday,2.533333333333333,5.083333333333333
3977333714,2016-04-21,1,332,512,Thursday,5.533333333333333,8.533333333333333
3977333714,2016-04-22,1,355,476,Friday,5.916666666666667,7.933333333333334
3977333714,2016-04-23,1,235,372,Saturday,3.9166666666666665,6.2
3977333714,2016-04-24,1,310,526,Sunday,5.166666666666667,8.766666666666667
3977333714,2016-04-25,1,262,467,Monday,4.366666666666666,7.783333333333333
3977333714,2016-04-26,1,250,371,Tuesday,4.166666666666667,6.183333333333334
3977333714,2016-04-27,1,349,540,Wednesday,5.816666666666666,9.0
3977333714,2016-04-28,1,261,423,Thursday,4.35,7.05
3977333714,2016-04-29,1,333,478,Friday,5.55,7.966666666666667
3977333714,2016-04-30,1,237,382,Saturday,3.95,6.366666666666666
3977333714,2016-05-01,1,383,626,Sunday,6.383333333333334,10.433333333333334
3977333714,2016-05-02,1,230,384,Monday,3.8333333333333335,6.4
3977333714,2016-05-03,1,292,500,Tuesday,4.866666666666666,8.333333333333334
3977333714,2016-05-04,1,213,336,Wednesday,3.55,5.6
3977333714,2016-05-05,1,318,480,Thursday,5.3,8.0
3977333714,2016-05-06,1,323,512,Friday,5.383333333333334,8.533333333333333
3977333714,2016-05-07,1,237,443,Saturday,3.95,7.383333333333334
3977333714,2016-05-08,2,259,456,Sunday,4.316666666666666,7.6
3977333714,2016-05-10,1,312,452,Tuesday,5.2,7.533333333333333
4020332650,2016-04-12,1,501,541,Tuesday,8.35,9.016666666666667
4020332650,2016-04-16,1,77,77,Saturday,1.2833333333333334,1.2833333333333334
4020332650,2016-05-03,1,322,332,Tuesday,5.366666666666666,5.533333333333333
4020332650,2016-05-04,1,478,536,Wednesday,7.966666666666667,8.933333333333334
4020332650,2016-05-05,1,226,248,Thursday,3.7666666666666666,4.133333333333334
4020332650,2016-05-06,1,385,408,Friday,6.416666666666667,6.8
4020332650,2016-05-08,1,364,402,Sunday,6.066666666666666,6.7
4020332650,2016-05-10,1,442,494,Tuesday,7.366666666666666,8.233333333333333
4319703577,2016-04-14,1,535,557,Thursday,8.916666666666666,9.283333333333333
4319703577,2016-04-15,1,465,491,Friday,7.75,8.183333333333334
4319703577,2016-04-16,1,506,522,Saturday,8.433333333333334,8.7
4319703577,2016-04-18,1,515,551,Monday,8.583333333333334,9.183333333333334
4319703577,2016-04-19,2,461,498,Tuesday,7.683333333333334,8.3
4319703577,2016-04-20,1,523,543,Wednesday,8.716666666666667,9.05
4319703577,2016-04-21,1,59,65,Thursday,0.9833333333333333,1.0833333333333333
4319703577,2016-04-22,1,533,550,Friday,8.883333333333333,9.166666666666666
4319703577,2016-04-23,1,692,722,Saturday,11.533333333333333,12.033333333333333
4319703577,2016-04-24,1,467,501,Sunday,7.783333333333333,8.35
4319703577,2016-04-25,1,488,506,Monday,8.133333333333333,8.433333333333334
4319703577,2016-04-26,1,505,516,Tuesday,8.416666666666666,8.6
4319703577,2016-04-27,1,286,307,Wednesday,4.766666666666667,5.116666666666666
4319703577,2016-04-28,1,497,522,Thursday,8.283333333333333,8.7
4319703577,2016-04-29,1,523,546,Friday,8.716666666666667,9.1
4319703577,2016-04-30,1,490,516,Saturday,8.166666666666666,8.6
4319703577,2016-05-01,1,484,500,Sunday,8.066666666666666,8.333333333333334
4319703577,2016-05-02,1,478,506,Monday,7.966666666666667,8.433333333333334
4319703577,2016-05-03,1,474,512,Tuesday,7.9,8.533333333333333
4319703577,2016-05-06,1,450,491,Friday,7.5,8.183333333333334
4319703577,2016-05-07,1,507,530,Saturday,8.45,8.833333333333334
4319703577,2016-05-08,1,602,638,Sunday,10.033333333333333,10.633333333333333
4319703577,2016-05-09,1,535,565,Monday,8.916666666666666,9.416666666666666
4319703577,2016-05-10,1,487,517,Tuesday,8.116666666666667,8.616666666666667
4319703577,2016-05-11,1,529,558,Wednesday,8.816666666666666,9.3
4319703577,2016-05-12,1,302,321,Thursday,5.033333333333333,5.35
4388161847,2016-04-15,1,499,526,Friday,8.316666666666666,8.766666666666667
4388161847,2016-04-16,2,426,448,Saturday,7.1,7.466666666666667
4388161847,2016-04-17,2,619,641,Sunday,10.316666666666666,10.683333333333334
4388161847,2016-04-18,1,99,104,Monday,1.65,1.7333333333333334
4388161847,2016-04-19,1,329,338,Tuesday,5.483333333333333,5.633333333333334
4388161847,2016-04-20,1,421,451,Wednesday,7.016666666666667,7.516666666666667
4388161847,2016-04-21,1,442,458,Thursday,7.366666666666666,7.633333333333334
4388161847,2016-04-22,1,82,85,Friday,1.3666666666666667,1.4166666666666667
4388161847,2016-04-23,1,478,501,Saturday,7.966666666666667,8.35
4388161847,2016-04-24,3,552,595,Sunday,9.2,9.916666666666666
4388161847,2016-04-26,1,319,346,Tuesday,5.316666666666666,5.766666666666667
4388161847,2016-04-27,1,439,500,Wednesday,7.316666666666666,8.333333333333334
4388161847,2016-04-28,1,428,458,Thursday,7.133333333333334,7.633333333333334
4388161847,2016-04-30,2,409,430,Saturday,6.816666666666666,7.166666666666667
4388161847,2016-05-01,1,547,597,Sunday,9.116666666666667,9.95
4388161847,2016-05-02,2,368,376,Monday,6.133333333333334,6.266666666666667
4388161847,2016-05-04,1,390,414,Wednesday,6.5,6.9
4388161847,2016-05-05,1,471,495,Thursday,7.85,8.25
4388161847,2016-05-05,1,471,495,Thursday,7.85,8.25
4388161847,2016-05-07,1,472,496,Saturday,7.866666666666666,8.266666666666667
4388161847,2016-05-08,2,529,541,Sunday,8.816666666666666,9.016666666666667
4388161847,2016-05-09,1,62,65,Monday,1.0333333333333334,1.0833333333333333
4388161847,2016-05-10,1,354,375,Tuesday,5.9,6.25
4388161847,2016-05-11,1,469,494,Wednesday,7.816666666666666,8.233333333333333
4445114986,2016-04-12,2,429,457,Tuesday,7.15,7.616666666666666
4445114986,2016-04-13,2,370,406,Wednesday,6.166666666666667,6.766666666666667
4445114986,2016-04-14,1,441,492,Thursday,7.35,8.2
4445114986,2016-04-15,2,337,379,Friday,5.616666666666666,6.316666666666666
4445114986,2016-04-16,1,462,499,Saturday,7.7,8.316666666666666
4445114986,2016-04-17,1,98,107,Sunday,1.6333333333333333,1.7833333333333334
4445114986,2016-04-19,2,388,424,Tuesday,6.466666666666667,7.066666666666666
4445114986,2016-04-20,1,439,462,Wednesday,7.316666666666666,7.7
4445114986,2016-04-21,1,436,469,Thursday,7.266666666666667,7.816666666666666
4445114986,2016-04-22,1,388,417,Friday,6.466666666666667,6.95
4445114986,2016-04-25,1,328,345,Monday,5.466666666666667,5.75
4445114986,2016-04-26,2,353,391,Tuesday,5.883333333333334,6.516666666666667
4445114986,2016-04-27,1,332,374,Wednesday,5.533333333333333,6.233333333333333
4445114986,2016-04-28,1,419,442,Thursday,6.983333333333333,7.366666666666666
4445114986,2016-04-29,1,106,108,Friday,1.7666666666666666,1.8
4445114986,2016-04-30,1,322,353,Saturday,5.366666666666666,5.883333333333334
4445114986,2016-05-01,2,439,459,Sunday,7.316666666666666,7.65
4445114986,2016-05-02,1,502,542,Monday,8.366666666666667,9.033333333333333
4445114986,2016-05-03,2,417,450,Tuesday,6.95,7.5
4445114986,2016-05-04,2,337,363,Wednesday,5.616666666666666,6.05
4445114986,2016-05-05,2,462,513,Thursday,7.7,8.55
4445114986,2016-05-06,2,374,402,Friday,6.233333333333333,6.7
4445114986,2016-05-07,2,401,436,Saturday,6.683333333333334,7.266666666666667
4445114986,2016-05-08,1,361,391,Sunday,6.016666666666667,6.516666666666667
4445114986,2016-05-09,1,457,533,Monday,7.616666666666666,8.883333333333333
4445114986,2016-05-10,1,405,426,Tuesday,6.75,7.1
4445114986,2016-05-11,1,499,530,Wednesday,8.316666666666666,8.833333333333334
4445114986,2016-05-12,1,483,501,Thursday,8.05,8.35
4558609924,2016-04-21,1,126,137,Thursday,2.1,2.283333333333333
4558609924,2016-04-26,1,103,121,Tuesday,1.7166666666666666,2.0166666666666666
4558609924,2016-04-29,1,171,179,Friday,2.85,2.9833333333333334
4558609924,2016-05-01,1,115,129,Sunday,1.9166666666666667,2.15
4558609924,2016-05-08,1,123,134,Sunday,2.05,2.2333333333333334
4702921684,2016-04-12,1,425,439,Tuesday,7.083333333333333,7.316666666666666
4702921684,2016-04-13,2,400,430,Wednesday,6.666666666666667,7.166666666666667
4702921684,2016-04-14,1,384,415,Thursday,6.4,6.916666666666667
